employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Female,New York,Buffalo,2016-04-16,Customer Service,Help Desk Technician,High School,81552,Good,No,1981-05-29,2020-12-25
00-46913810,John,Taylor,Male,North Carolina,Charlotte,2017-02-09,IT,System Administrator,Bachelor,107520,Good,No,1989-01-05,2018-10-23
00-28728463,Erica,Mcclain,Male,New York,New York City,2022-02-03,Operations,Logistics Coordinator,Bachelor,61104,Good,Yes,1995-09-01,2023-04-15
00-83197857,Brittany,Johnson,Male,New York,Rochester,2016-02-06,Operations,Inventory Specialist,Bachelor,73770,Good,No,1981-08-02,2020-10-11
00-66629388,Jeffery,Wagner,Female,New York,Rochester,2015-01-11,Operations,Operations Analyst,Bachelor,55581,Satisfactory,No,1986-07-21,2019-05-17
00-22575562,Anna,Baldwin,Female,New York,New York City,2017-09-30,Operations,Operations Analyst,Bachelor,73800,Good,Yes,1989-09-13,2021-03-04
00-77827638,Amy,Robinson,Male,New York,Buffalo,2021-08-17,Finance,Accountant,Bachelor,68181,Good,No,1992-10-29,2022-11-27
00-85329037,Joshua,Booth,Female,New York,Buffalo,2017-10-22,Finance,Accounts Payable Specialist,Bachelor,54499,Good,Yes,1997-01-02,2022-09-10
00-97226012,Linda,Wolfe,Male,New York,Buffalo,2022-05-13,Operations,Inventory Specialist,High School,57340,Good,No,2003-08-24,2018-03-24
00-66306997,Joshua,Lewis,Female,New York,Rochester,2017-10-24,Operations,Logistics Coordinator,Bachelor,54065,Good,Yes,1982-03-06,2021-05-29
00-89089901,Matthew,Davis,Female,New York,Buffalo,2017-02-07,Marketing,SEO Specialist,High School,83262,Good,No,1995-05-24,2018-01-11
00-10872248,Michael,Cooper,Female,New York,Buffalo,2022-04-13,HR,Recruiter,High School,61651,Good,No,1975-08-09,2024-06-19
00-31429110,Lindsay,Blair,Male,New York,Rochester,2022-07-28,Operations,Operations Analyst,Bachelor,75509,Good,No,1968-09-08,2019-05-10
00-55667651,David,Nielsen,Female,New York,New York City,2017-01-31,Customer Service,Help Desk Technician,High School,67011,Good,No,2002-11-08,2024-09-12
00-38898923,Andrea,Calderon,Male,Michigan,Grand Rapids,2024-08-28,IT,IT Support Specialist,Bachelor,60136,Good,No,1988-09-03,2024-02-29
00-55176955,Nicole,Ward,Male,New York,Rochester,2016-03-15,Operations,Logistics Coordinator,Bachelor,67552,Satisfactory,Yes,1965-03-28,2017-08-17
00-60992979,Janet,Williams,Male,Michigan,Grand Rapids,2016-03-29,Operations,Inventory Specialist,Bachelor,59934,Good,No,2004-04-09,2024-10-25
00-56164955,Kendra,Galloway,Female,New York,New York City,2021-11-29,Sales,Sales Manager,PhD,104162,Good,No,1964-07-14,2022-01-02
00-15831819,Jesse,Garcia,Male,New York,Rochester,2022-04-18,Customer Service,Customer Service Representative,Bachelor,63873,Good,No,1964-05-18,2017-10-20
00-81971316,Shawn,Flowers,Male,Michigan,Warren,2016-03-04,IT,IT Support Specialist,Bachelor,66250,Excellent,No,1960-10-11,2017-08-14
00-60806024,Mitchell,Clark,Male,New York,Buffalo,2016-04-13,Customer Service,Support Specialist,Bachelor,61729,Satisfactory,No,1974-12-28,2016-03-23
00-49349722,Jacqueline,Sutton,Female,New York,New York City,2023-01-28,Sales,Sales Manager,Master,84046,Satisfactory,Yes,1980-10-12,2015-06-19
00-93016315,Chelsea,Jackson,Male,North Carolina,Raleigh,2023-10-11,Sales,Sales Specialist,PhD,69318,Good,Yes,1995-10-23,2018-12-08
00-58537831,John,Ford,Male,Pennsylvania,Philadelphia,2020-04-14,Sales,Sales Consultant,Bachelor,99002,Satisfactory,No,2003-10-28,2024-08-27
00-19335534,Veronica,Bowman,Male,New York,Buffalo,2015-08-05,Operations,Logistics Coordinator,Bachelor,69163,Good,No,1991-07-30,2023-09-12
00-40587988,Jeffrey,Nguyen,Male,New York,Buffalo,2023-10-26,Operations,Inventory Specialist,Bachelor,65830,Good,Yes,1994-04-02,2016-04-19
00-20709497,Kimberly,Perez,Male,New York,Rochester,2023-01-13,Marketing,Content Creator,Bachelor,68419,Good,No,1972-03-03,2022-12-29
00-23556182,Linda,Morales,Male,New York,New York City,2018-01-26,Sales,Sales Specialist,Bachelor,71110,Needs Improvement,No,1994-08-03,2020-03-11
00-70855700,Jason,Hahn,Male,Ohio,Cleveland,2021-12-07,IT,System Administrator,Bachelor,84205,Excellent,No,1979-05-10,2024-10-12
00-58966946,Jennifer,Lewis,Male,New York,Buffalo,2017-07-13,Sales,Sales Specialist,Master,67953,Satisfactory,No,1984-01-01,2023-05-05
00-57683626,Randall,Rocha,Male,New York,Buffalo,2017-06-28,IT,IT Support Specialist,High School,58445,Good,No,1962-01-08,2017-03-18
00-45833156,Douglas,Taylor,Female,New York,Rochester,2022-10-17,Customer Service,Customer Service Representative,Bachelor,58697,Satisfactory,Yes,1993-10-30,2015-12-12
00-96977837,Anna,Baker,Male,New York,Buffalo,2016-08-15,Sales,Sales Specialist,PhD,77156,Satisfactory,No,1971-08-25,2016-03-09
00-95225343,Ross,Silva,Female,New York,Rochester,2017-05-21,Sales,Sales Specialist,Bachelor,81038,Excellent,No,2004-03-13,2020-07-22
00-42857966,Jeffrey,Bright,Male,New York,New York City,2017-07-17,Finance,Accounts Payable Specialist,Bachelor,71339,Satisfactory,No,1981-09-04,2015-10-08
00-60929647,Trevor,Campos,Male,New York,Buffalo,2017-12-01,Operations,Operations Analyst,Master,81316,Excellent,No,1984-06-03,2018-03-30
00-95899313,Daniel,Burton,Female,New York,Rochester,2022-11-04,IT,Software Developer,Bachelor,96947,Excellent,No,2002-10-06,2015-01-23
00-39476249,Erin,Carlson,Male,New York,New York City,2022-05-30,Operations,Logistics Coordinator,Bachelor,67437,Excellent,No,1985-07-04,2019-10-11
00-17507864,Patrick,Ferrell,Female,Michigan,Detroit,2017-07-25,Sales,Sales Consultant,PhD,116328,Satisfactory,No,1970-09-02,2022-11-07
00-14308421,John,Tran,Male,Virginia,Norfolk,2023-01-05,Operations,Logistics Coordinator,Bachelor,67630,Satisfactory,No,1973-04-30,2022-09-23
00-63843426,Erin,Wilson,Female,New York,New York City,2017-12-10,Operations,Logistics Coordinator,Bachelor,53898,Good,No,1982-11-28,2023-09-17
00-38317637,Amanda,Adams,Female,New York,Buffalo,2024-09-05,Sales,Sales Specialist,Bachelor,61534,Good,No,2005-02-23,2024-08-12
00-86125617,Matthew,Carter,Male,New York,Buffalo,2023-03-03,Marketing,SEO Specialist,High School,78184,Good,Yes,1981-03-11,2020-12-16
00-52235350,Shawn,Mckay,Female,New York,New York City,2017-12-07,Operations,Inventory Specialist,Bachelor,56559,Good,Yes,1981-08-02,2018-12-21
00-77005685,Jennifer,Stanton,Male,New York,Rochester,2019-10-23,Customer Service,Support Specialist,Bachelor,68635,Satisfactory,No,1961-03-24,2020-12-07
00-96282117,Guy,Gaines,Male,New York,New York City,2019-12-05,Sales,Sales Representative,Bachelor,80367,Satisfactory,Yes,2004-01-28,2023-07-02
00-45551614,Colleen,Skinner,Female,New York,Buffalo,2017-07-17,Operations,Inventory Specialist,Bachelor,63169,Good,No,1983-03-16,2017-05-02
00-85345555,Chelsea,Hernandez,Female,Pennsylvania,Philadelphia,2020-10-23,Sales,Sales Consultant,Master,71142,Needs Improvement,No,1984-02-01,2023-07-21
00-88461803,Evan,Ashley,Male,New York,Buffalo,2019-12-25,Operations,Inventory Specialist,High School,58830,Good,Yes,1984-12-30,2015-01-21
00-88320463,Alyssa,Smith,Female,Michigan,Grand Rapids,2019-05-06,Customer Service,Customer Service Representative,Bachelor,66218,Satisfactory,No,1971-08-07,2018-01-09
00-39436733,Tracy,Rodriguez,Female,New York,Rochester,2024-05-20,Marketing,SEO Specialist,High School,88887,Good,No,1981-02-20,2019-06-04
00-28566572,Natasha,Decker,Male,New York,Buffalo,2020-04-29,Sales,Sales Consultant,PhD,72859,Satisfactory,No,1960-11-18,2018-07-18
00-22201654,John,Allen,Male,New York,Rochester,2022-08-09,Operations,Logistics Coordinator,Bachelor,67630,Excellent,Yes,1986-04-30,2016-10-20
00-24716857,Stacey,Miller,Male,New York,Rochester,2017-07-08,Operations,Inventory Specialist,Bachelor,61574,Excellent,No,1992-10-04,2024-06-13
00-31472420,Lisa,Spence,Male,New York,New York City,2023-07-26,IT,Software Developer,Master,103756,Excellent,No,1971-12-08,2016-08-23
00-66661351,Katie,Anderson,Male,New York,Rochester,2020-07-03,Operations,Logistics Coordinator,Bachelor,63227,Excellent,Yes,1982-04-10,2016-06-26
00-61642594,Stacey,Martin,Male,New York,Rochester,2018-07-24,Operations,Inventory Specialist,High School,63680,Good,No,1994-07-10,2017-04-18
00-72820592,Monique,Henderson,Female,New York,Rochester,2020-03-23,Customer Service,Help Desk Technician,Bachelor,90880,Satisfactory,No,1968-10-07,2024-02-17
00-84252722,Sarah,Campos,Female,Pennsylvania,Philadelphia,2023-09-25,Marketing,Content Creator,High School,52954,Excellent,No,1984-09-21,2015-03-18
00-11540956,James,Collins,Female,New York,Rochester,2022-09-18,Operations,Inventory Specialist,Bachelor,64475,Good,Yes,1978-08-29,2024-03-26
00-25374874,Debra,Kim,Female,Pennsylvania,Allentown,2022-07-21,Sales,Sales Specialist,PhD,93238,Satisfactory,No,1981-05-12,2024-06-27
00-82070937,Shannon,Wright,Female,Michigan,Grand Rapids,2022-01-25,Operations,Inventory Specialist,High School,58713,Good,Yes,2004-03-18,2015-02-17
00-96028436,Matthew,Chapman,Female,New York,Buffalo,2018-03-31,IT,Software Developer,Bachelor,91896,Needs Improvement,No,1971-01-02,2019-04-12
00-49392920,Brianna,Smith,Male,New York,New York City,2019-10-02,Operations,Inventory Specialist,Bachelor,71608,Excellent,Yes,1975-05-03,2022-05-22
00-70897765,Crystal,Perez,Female,New York,Rochester,2015-12-18,Finance,Financial Analyst,Bachelor,71404,Satisfactory,No,1984-10-20,2023-04-09
00-45351479,Anthony,Rivera,Male,New York,Rochester,2024-07-18,Operations,Logistics Coordinator,Bachelor,59423,Good,No,1993-05-20,2015-11-10
00-33978249,John,Caldwell,Female,New York,Buffalo,2020-03-24,Operations,Operations Analyst,Bachelor,64183,Needs Improvement,No,1984-02-01,2018-01-03
00-24282218,Amber,Cummings,Male,New York,New York City,2023-12-09,Operations,Operations Analyst,Master,76824,Good,No,1987-10-24,2024-07-31
00-50056581,Ashley,Kennedy,Female,New York,Buffalo,2023-11-01,Finance,Accountant,Bachelor,54093,Satisfactory,No,2004-07-06,2022-02-12
00-78137358,Thomas,Russell,Male,New York,Rochester,2021-02-06,Finance,Accountant,Bachelor,95124,Needs Improvement,Yes,1965-04-19,2018-12-18
00-30513739,Collin,Jordan,Female,New York,Rochester,2018-06-14,Sales,Sales Specialist,Master,68345,Good,No,1966-12-27,2024-09-12
00-31682744,Robert,Shields,Female,New York,New York City,2020-01-22,Customer Service,Help Desk Technician,Bachelor,61403,Good,Yes,1979-11-11,2016-11-07
00-81182864,Emily,Joyce,Male,New York,Rochester,2024-02-08,Operations,Inventory Specialist,Bachelor,60320,Good,No,1989-12-12,2016-03-15
00-90388981,Bruce,Chandler,Female,New York,Rochester,2018-11-07,Operations,Inventory Specialist,High School,55060,Excellent,No,1967-05-14,2021-01-25
00-12614124,Michelle,Wright,Male,New York,Rochester,2016-03-14,Operations,Operations Manager,Master,82834,Good,No,1964-11-04,2017-03-19
00-58718453,Amanda,Taylor,Female,New York,Buffalo,2023-03-13,Finance,Financial Analyst,PhD,76564,Satisfactory,Yes,1989-10-23,2016-04-16
00-51273847,Joshua,Wright,Male,New York,Rochester,2017-12-25,Finance,Accountant,Bachelor,63056,Good,No,1993-01-20,2017-03-02
00-42329237,Charles,Morton,Male,New York,Rochester,2023-11-29,Finance,Accountant,Bachelor,78616,Satisfactory,No,1985-12-26,2022-07-29
00-20570592,Andrea,Williams,Male,New York,Buffalo,2016-07-28,Operations,Inventory Specialist,High School,57716,Good,No,1961-08-13,2022-12-05
00-75228535,Mary,Novak,Female,New York,Buffalo,2023-12-26,Operations,Logistics Coordinator,Bachelor,61198,Satisfactory,No,1982-09-25,2017-01-28
00-81498611,Karen,Young,Male,New York,New York City,2022-06-07,IT,IT Support Specialist,Bachelor,58331,Excellent,No,2002-10-06,2016-11-06
00-27232410,Todd,Lewis,Female,Ohio,Cincinnati,2022-06-05,Operations,Logistics Coordinator,Bachelor,62398,Good,No,1967-06-09,2016-02-29
